Secteur principal,Secteur d'activité ,Secteur d'activité connexe,Sous-secteur,Catégorie de métier,Code NAF,Qualification,Expositions,Risques,Examens utiles
,,Bâtiment - Travaux Publics - Matériaux,,Miroitier,,,,,
,,,,Peintre en décor,,,,,
,,,,Restaurateur conservateur,,,,,
,,,,Restaurateur d'œuvres d'art,,,,,
,,Bâtiment - Travaux Publics - Matériaux,,Solier-moquettiste,,,,,
,,Bâtiment - Travaux Publics - Matériaux,,Staffeur-ornemaniste,,,,,
,,,,Tapissier d'ameublement,,,,,
,,,,Tailleur de pierre,,,,,
,,Bâtiment - Travaux Publics - Matériaux,,Verrier au chalumeau,,,,,
,,Bâtiment - Travaux Publics - Matériaux,,Vitralliste,,,,,
,Artisanat,,Bijoux,Bijoutier-joaillier,,,,,
,,,Bijoux,Gemmologue,,,,,
,,,Bijoux,Orfèvre,,,,,
,,,Métaux,Armurier,,,,,
,,,Métaux,Bronzier,,,,,
,,,Métaux,Coutellier,,,,,
,,,Métaux,Ferronier d'art,,,,,
,,,Métaux,Graveur,,,,,
,,,Bois,Ebéniste,,,,,
,,,Bois,Encadreur,,,,,
,,,Confection,Costumier,,,,,
,,,Confection,Modéliste,,,,,
,,,Confection,Modiste - Chapelier,,,,,
,,,Confection,Retoucheur,,,,,
,,,Confection,Styliste,,,,,
,,,Musique,Facteur d'orgues,,,,,
,,,Musique,Facteur de piano,,,,,
,,,Musique,Facteur instrumental,,,,,
,,,Musique,Luthier,,,,,
,,,Musique,Réparateur d'instrument de musique,,,,,
,,,,Céramiste à la main,,,,,
,,,,Horloger,,,,,
,,,,Maroquinier,,,,,
,,,,Relieur-doreur,,,,,
,,,,Shaper,,,,,
,Audit - Conseil - Gestion - Ressources humaines,Banque - Finance - Assurance,,Assistant comptable,,,,,
,,,,Assistant de gestion PME / PMI,,,,,
,,,,Assistant de manager international,,,,,
,,,,Assistant de ressources humaines,,,,,
,,,,Auditeur externe,,,,,
,,,,Chargé d'études marketing,,,,,
,,,,Chargé de recrutement territorial,,,,,
,,,,Coach professionnel,,,,,
