sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
,,,,Assistant de manager international,,,,
,,,,Assistant de ressources humaines,,,,
,,,,Auditeur externe,,,,
,,,,Chargé d'études marketing,,,,
,,,,Chargé de recrutement territorial,,,,
,,,,Coach professionnel,,,,
,,Banque - Finance - Assurance,,Commissaire aux comptes,,,,
,,Banque - Finance - Assurance,,Comptable,,,,
,,,,Conseiller en développement local,,,,
,,,,Contrôleur du travail,,,,
,,Banque - Finance - Assurance,,Credit manager,,,,
,,Commerce,,Directeur de grand magasin,,,,
,,,,Directeur des ressources humaines,,,,
,,Commerce,,Directeur du marketing,,,,
,,Commerce,,Directeur commercial,,,,
,,Banque - Finance - Assurance,,Fiscaliste,,,,
,,,,Manager des organisations,,,,
,,,,Manager de risques / Risk manager,,,,
,,,,Rédacteur territorial,,,,
,,,,Responsable d'agence,,,,
,,,,Responsable d'agence intérim,,,,
,,Commerce,,Responsable marketing,,,,
,Banque - Finance - Assurance,,,Actuaire,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Assistant comptable,,,,
,,,,Agent général d'assurance,,,,
,,,,Analyste financier,,,,
,,,,Assistant comptable,,,,
,,,,Auditeur externe,,,,
,,,,Chargé de clientèle bancaire,,,,
,,,,Chargé de communication financière,,,,
,,Humanitaire,,Collecteur de fonds,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Comptable,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Commissaire aux comptes,,,,
,,,,Conseiller en microcrédit,,,,
,,,,Controleur de gestion,,,,
,,,,Courtier en assurances,,,,
,,,,Credit manager,,,,
,,,Technicien,Dabiste,,,,
,,,,Directeur financier,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Expert-compable,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Fiscaliste,,,,
,,,,Gérant de portefeuille,,,,
,,,,Gestionnaire de patrimoine,,,,
,,,,Guichetier chargé d'accueil bancaire,,,,
,,,,Opérateur de traitement de valeurs,,,,
,,,,Rédacteur en assurances,,,,
,,,,Responsable d'agence bancaire,,,,
,,,,Trader,,,,
,Commerce,,,Acheteur,,,,
,,Communication - Information,,Acheteur d'espaces publicitaires,,,,
,,,,Caissier,,,,
,,,,Chef de produit marketing ,,,,
,,Informatique,,Chef de projet e-CRM,,,,
,,,,Chef de rayon,,,,
,,,,Client mystère professionnel,,,,
,,,,Commerçant en alimentation,,,,
,,,,Commercial,,,,
,,,,Commercial à bord des trains,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Directeur commercial,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Directeur de grand magasin,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Directeur du marketing,,,,
,,,,E-marchandiser,,,,
,,,,Employé de pressing,,,,
,,,,Employé de statiion service,,,,
,,,,Employé de libre service,,,,
,,,,Etalagiste - décorateur,,,,
,,Sport  - Loisirs - Animation,,Exploitant d'équipements de loisirs,,,,
,,,,Fleuriste ,,,,
,,,,Installateur de magasin,,,,
,,Edition - Imprimerie - Livre,,Libraire,,,,
,,,,Loueur de bateaux,,,,
,,,Automobile,Loueur de voiture,,,,
,,,,Marchand ambulant,,,,
,,,,Marchandiser,,,,
,,,,Monteur-vendeur en optique lunetterie,,,,
,,,,Représentant vendeur de véhicule,,,,
,,,,Responsable affiliation et partenariats sur le web,,,,
,,,,Responsable de magasin,,,,
,,,,Responsable de plateforme téléphonique,,,,
,,,,Skiman,,,,
,,,,Téléconseiller,,,,
,,,,Télévendeur,,,,
,,,,Vendeur d'article de sport,,,,
,,,,Vendeur de jouets,,,,
,,,,Vendeur en animalerie,,,,
,,,,Vendeur en magasin,,,,
,,,,Vendeur en micro-informatique et multimédia,,,,
,,,,Vendeur export,,,,
,,,,Webmarketer,,,,
,,,,Wedding planner,,,,
,,,,Yield manager,,,,
,,,Ingénierie,Ingénieur technico-commercial,,,,
,Communication - Information,Commerce,,Acheteur d'espaces publicitaires,,,,
,,,,Archiviste,,,,
,,,,Assistant de communication,,,,
,,,,Attaché de presse,,,,
,,,,Chargé d'étude de marketing,,,,
,,Banque - Finance - Assurance,,Chargé de communication financière,,,,
,,,,Chargé de diffusion,,,,
,,,,Chargé de mission patrimoine culturel,,,,
,,,,Chargé de relations publiques,,,,
,,,,Chargé d'habillage et d'autopromotion,,,,
,,,,Chef de publicité,,,,
,,,,Concepteur rédacteur,,,,
,,,,Dessinateur de presse,,,,
,,,,Designer produit,,,,
,,Culture - Art - Spectacle,,Directeur artistique,,,,
,,,,Documentaliste,,,,
,,,,Enquêteur,,,,
,,,,Gestionnaire d'antenne,,,,
,,,,Iconographe,,,,
,,,,Interprète,,,,
,,,,Journaliste d'entreprise,,,,
,,,,Journaliste reporter d'images,,,,
,,,,Média-planner,,,,
,,,,Pigiste,,,,
,,,,Rédacteur technique,,,,
,,,,Responsable de communication,,,,
,,,,Responsable de la communication financière,,,,
,,,,Responsable marketing,,,,
,,,,Standardiste,,,,
,,,,Stéréotypiste de conférence,,,,
,,,,Traducteur,,,,
,Culture - Art - Spectacle,,Artistes,Auteur,,,,
,,,Artistes,Agent artistique,,,,
,,,Artistes,Artiste-peintre,,,,
,,,Artistes,Cascadeur,,,,
,,,Artistes,Chanteur,,,,
,,,Artistes,Danseur,,,,
,,,Artistes,Comédien,,,,
,,,Artistes,Documentariste,,,,
,,,Artistes,Mannequin,,,,
,,,Artistes,Maquilleur artistique,,,,
,,,Artistes,Marionnettiste,,,,
,,,Artistes,Musicien ,,,,
,,,Artistes,Musicien intervenant,,,,
,,,Artistes,Photographe,,,,
,,,Artistes,Scripte,,,,
,,,Artistes,Story-boarder,,,,
,,,,,,,,
,,,,,,,,
,,,,Médiateur culturel,,,,
,,Education - Enseignement - Formation,,Musicologue,,,,
,,,,,,,,
,,,Décor,Accessoiriste,,,,
,,,Décor,Décorateur scénographe,,,,
,,,Décor,Habilleur,,,,
,,,,Modéliste,,,,
